,Infinitive,Mood,Tense,Person,Conjugation,Example,Example-English
1,haber,Participle,Gerund,habiendo,,,
2,haber,Participle,Past_Participle,habido,,,
3,haber,Indicative,Present,yo,he,,
4,haber,Indicative,Present,tú,has,,
5,haber,Indicative,Present,él/ella/Ud.,ha,,
6,haber,Indicative,Present,nosotros,hemos,,
7,haber,Indicative,Present,vosotros,habéis,,
8,haber,Indicative,Present,ellos/ellas/Uds.,han,,
9,haber,Indicative,Preterite,yo,hube,,
10,haber,Indicative,Preterite,tú,hubiste,,
11,haber,Indicative,Preterite,él/ella/Ud.,hubo,,
12,haber,Indicative,Preterite,nosotros,hubimos,,
13,haber,Indicative,Preterite,vosotros,hubisteis,,
14,haber,Indicative,Preterite,ellos/ellas/Uds.,hubieron,,
15,haber,Indicative,Imperfect,yo,había,,
16,haber,Indicative,Imperfect,tú,habías,,
17,haber,Indicative,Imperfect,él/ella/Ud.,había,,
18,haber,Indicative,Imperfect,nosotros,habíamos,,
19,haber,Indicative,Imperfect,vosotros,habíais,,
20,haber,Indicative,Imperfect,ellos/ellas/Uds.,habían,,
21,haber,Indicative,Conditional,yo,habría,,
22,haber,Indicative,Conditional,tú,habrías,,
23,haber,Indicative,Conditional,él/ella/Ud.,habría,,
24,haber,Indicative,Conditional,nosotros,habríamos,,
25,haber,Indicative,Conditional,vosotros,habríais,,
26,haber,Indicative,Conditional,ellos/ellas/Uds.,habrían,,
27,haber,Indicative,Future,yo,habré,,
28,haber,Indicative,Future,tú,habrás,,
29,haber,Indicative,Future,él/ella/Ud.,habrá,,
30,haber,Indicative,Future,nosotros,habremos,,
31,haber,Indicative,Future,vosotros,habréis,,
32,haber,Indicative,Future,ellos/ellas/Uds.,habrán,,
33,haber,Subjunctive,Present,yo,haya,,
34,haber,Subjunctive,Present,tú,hayas,,
35,haber,Subjunctive,Present,él/ella/Ud.,haya,,
36,haber,Subjunctive,Present,nosotros,hayamos,,
37,haber,Subjunctive,Present,vosotros,hayáis,,
38,haber,Subjunctive,Present,ellos/ellas/Uds.,hayan,,
39,haber,Subjunctive,Imperfect,yo,hubiera,,
40,haber,Subjunctive,Imperfect,tú,hubieras,,
41,haber,Subjunctive,Imperfect,él/ella/Ud.,hubiera,,
42,haber,Subjunctive,Imperfect,nosotros,hubiéramos,,
43,haber,Subjunctive,Imperfect,vosotros,hubierais,,
44,haber,Subjunctive,Imperfect,ellos/ellas/Uds.,hubieran,,
45,haber,Subjunctive,Future,yo,hubiere,,
46,haber,Subjunctive,Future,tú,hubieres,,
47,haber,Subjunctive,Future,él/ella/Ud.,hubiere,,
48,haber,Subjunctive,Future,nosotros,hubiéremos,,
49,haber,Subjunctive,Future,vosotros,hubiereis,,
50,haber,Subjunctive,Future,ellos/ellas/Uds.,hubieren,,
51,haber,Imperative,Affirmative,tú,habe,,
52,haber,Imperative,Affirmative,él/ella/Ud.,haya,,
53,haber,Imperative,Affirmative,nosotros,hayamos,,
54,haber,Imperative,Affirmative,vosotros,habed,,
55,haber,Imperative,Affirmative,ellos/ellas/Uds.,hayan,,
56,haber,Imperative,Negative,tú,no hayas,,
57,haber,Imperative,Negative,él/ella/Ud.,no haya,,
58,haber,Imperative,Negative,nosotros,no hayamos,,
59,haber,Imperative,Negative,vosotros,no hayáis,,
60,haber,Imperative,Negative,ellos/ellas/Uds.,no hayan,,
